Lat_dec,Long_dec,Elevation,Name
7.445,126.22666,2670,Mt. Tagubud
13.2625,120.995,2582,Mt. Halcon
43.57916,85.11916,5248,Borgora
35.64222,76.30666,7821,Masherbrum
36.73,73.24,6872,Koyo Zom
-7.385,110.0725,3320,Gunung Sumbing
0.5775,120.205,3030,Fuyul Sojol
36.32583,75.18833,7885,Disteghil Sar I
38.5,97.725,5808,Kangze'gyai
7.00083,80.77333,2524,Pidurutalagala
39.25083,93.69666,5830,Altun Shan
37.48583,44.005,4136,Uludoruk Tepe
10.17,77.06083,2694,Anai Mudi
38.09333,71.095,5326,Kuh-e Safed Khers HP
26.14916,102.91333,4330,Hung-Wang Shan HP 
13.25583,123.68583,2462,Mayon Volcano
41.22166,47.85833,4466,Gora Bazardyuzi
36.77833,71.45166,5467,Kuh-e Chuk Shakh
-4.01583,103.12833,3159,Gunung Dempo
8.11722,124.92361,2938,Mt. Katanglad
28.50972,33.95527,2629,Jebel Katarina
28.53333,84.12166,7937,Annapurna II
36.61166,75.08027,6977,Karun Kuh
-7.455,110.44,3145,Gunung Merbabu
10.41,123.13,2430,Canlaon Mtn.
-6.76916,106.965,3019,Pangrango
38.535,35.45083,3917,Erciyes Dagi
28.07583,60.01083,3503,Kuh-e Zendan
34.30083,36.11666,3087,Qornet es Saouda
27.89,87.08833,8485,Makalu
28.7625,83.38916,7751,Dhaulagiri II
38.51,72.35416,6940,Qullai Istiqlol
-8.65166,120.44833,2370,Poco Mandasawu
29.16583,96.72416,6882,Bairiga
28.3925,85.13,7422,Yangra Kangri
27.82416,89.26916,7090,Chomolhari
39.455,73.56666,6610,Gora Khurumdy
42.69916,44.51833,5034,Gora Kazbek
37.79694,35.15555,3756,Demirkazik Tepe
28.09416,86.66083,8188,Cho Oyu
36.52166,80.315,5470,Tekilik Shan
0.07916,99.98416,2912,Talakmau
34.865,77.7525,7672,Saser Kangri I
33.98,76.02166,7135,Nun
34.03833,69.9025,4755,Sikaram Sar
39.23583,71.91083,5900,Pik Sat
36.28916,137.64805,3190,Hotaka-dake
8.2175,123.63666,2404,Mt. Malindang
43.66361,142.85416,2290,Asahi-dake
40.83638,41.16083,3932,Kackar Dagi
31.60583,54.06833,4050,Shir Kuh
35.84,74.8975,7406,Haramosh
31.44,110.3075,3100,Dashennongjia
28.43833,98.68333,6740,Kawagebo
39.19888,68.19527,5489,Gora Chimtarga
-1.29916,121.5425,2870,Bulu Kandela
30.37083,90.58583,7162,Nyainq�ntanglha Feng
33.955,107.76333,3750,Taibai Shan
35.67416,138.23666,3192,Kita-dake
-3.665,121.23583,2650,Gunung Mekongga
28.72916,102.37916,4750,Huatou Jian
-3.87083,135.87083,3750,Pegunungan Kobowre
15.06916,107.975,2598,Ngoc Linh
32.80833,81.00083,6720,Nganglong Kangri
27.865,92.5325,7060,Kangt�
42.50583,74.58083,4895,Pik Semionova Tien-Shanskogo 
36.00166,74.87583,7453,Malubiting West
38.93166,42.83416,4058,S�phan Dagi
28.94833,90.17833,7206,Norin Kang
30.90416,93.7875,6980,Sepu Kangri
32.4175,77.07083,6200,Shikar Beh
35.72583,76.695,8080,Gasherbrum I 
35.405,76.8475,7742,Saltoro Kangri I
37.14583,73.215,6286,Kuh-e Belandtarin
32.67583,103.84666,5588,Xuebao Ding
21.23333,93.90333,3070,Mt. Victoria
38.42416,73.3025,6233,Soviet Officers Peak
40.52277,44.19583,4090,Aragats Lerrnagagat
-2.74833,119.36833,3074,Tanete Gandangdewata
4.6325,102.23416,2187,Gunung Tahan
36.59,73.34166,6518,Ghamubar Zom
42.57416,45.315,4493,Tebulosmta
-7.81388,111.76,2563,Gunung Liman
11.38916,122.16166,2117,Mt. Madiac
34.64333,67.625,5060,Shah Fuladi
-0.73666,127.52416,2111,Buku Sibela
28.555,84.94444,7165,Chamar 
29.94916,102.05,6070,Lamo-She
-0.38,100.47416,2891,Gunung Marapi
-7.3225,107.86,2820,Gunung Cikuray
38.83333,105.95,3540,Helan Shan HP
39.61944,70.71888,5621,Pik Skalistiy
32.365,50.0775,4200,Zard Kuh
32.08916,77.73333,6633,Parvati Parvat
43.38166,93.35583,4320,Barkol Shan
27.88666,56.3475,3240,Kuh-e Fareghan
27.43166,55.13416,2681,Kuh-e Shab
11.4025,76.7375,2636,Doddabetta
8.81833,117.675,2085,Mt. Mantaling
33.72333,78.52833,6725,Kangju Kangri
18.98083,103.15166,2830,Phou Bia
12.40583,108.42416,2420,Chu Yang Sin
37.39277,34.63,3524,Medetsiz Tepe
24.11166,99.64,3500,Daxue Shan
-8.64166,126.59583,2372,Gunung Matebeanfeto
12.41666,122.56916,2050,Sibuyan Island HP
30.00666,80.92916,7132,Api
27.95333,88.8425,7107,Pauhunri
27.5775,88.21583,6691,Pandim
37.91333,87.38916,6245,Sulamutag Feng
43.0525,43.135,5205,Gora DykhTau
-1.06583,122.19166,2565,Gunung Tumpu
4.04583,114.93,2376,Gunung Mulu
27.42583,56.1725,2350,Kuh-e Genu
-0.65916,112.68833,2300,Bukit Raya
15.48166,120.12083,2037,High Peak
-2.57083,138.67416,2230,Pegunungan Gauttier
30.3425,93.915,6842,Pt. 6842
30.33583,130.5025,1936,Miyanoura-dake
4.65,101.36166,2180,Gunong Yong Belar
36.43166,71.82833,7492,Noshaq
28.20333,87.6075,6724,Ny�nno Ri
36.28833,76.38833,6792,Surukwat Kangri
29.18083,98.46,6324,Damyon
-9.56083,124.23,2351,Nuaf Nefomasi
-2.73333,134.58416,2180,Pegunungan Wondiwoi
33.76666,133.11416,1982,Tengu-dake
27.21333,103.0775,4050,Yao Shan
35.295,77.02166,7428,K12
36.5475,72.11666,7338,Saraghrar
35.41861,76.55111,7282,K6
36.72416,84.60166,6748,Ak Tag
37.88916,72.18916,6080,Pik Patkhor
30.07,57.46583,4229,Kuh-e Palvar
26.15833,103.23583,4030,Pt. 4030
32.44083,57.36916,2960,Kuh-e Nay Band
27.61333,56.66916,2650,Khvoshkuh
3.905,115.48833,2423,Gunung Murud
36.60472,30.11722,3070,Bey Daglari
27.86083,117.78416,2170,Huanggang Shan
29.8075,99.60583,6204,Ge'nyen
28.30416,86.35083,7367,Lapche Kang 
33.68,74.54083,4745,Sanset
30.4925,50.89916,3190,Kuh-e Hami
6.36,125.07583,2286,Mt. Matutum
3.82333,102.09416,2107,Gunung Benum
13.65916,123.37333,2000,Mt. Isarog
33.36166,126.52916,1950,Halla-san
-8.19666,119.07,1949,Pulau Sangeang
36.4125,87.385,6973,Ulugh Muztagh
29.83333,84.61333,7095,Lunpo Gangri
35.31583,80.91583,7167,Liushi Shan
34.79833,99.4625,6282,Dradullungshog
28.8,91.965,6636,Yarla Shampo
38.19,88.90833,6065,Yusupu Aleketag Shan
28.90416,98.38416,5841,Pt. 5841
38.425,72.76,5735,Gora Radzhi-Bek
24.38333,121.23,3884,Hsueh Shan
38.1275,34.16666,3268,Hasan Dagi
